green_initiative,employees,man_exp,foreign,fin_obst,,green_strategy,energy_tax,sector
Green,22,27,Domestic,No obstcale,,Yes,No,Food
Green,40,7,Domestic,No obstcale,,Yes,No,Food
Green,27,45,Domestic,Moderate obstcale,,Yes,No,Construction
Green,12,35,Domestic,Moderate obstcale,,Yes,No,Construction
Green,4,30,Domestic,No obstcale,,Yes,No,Manufacturing
Green,7,44,Domestic,Minor obstcale,,Yes,No,Wholesale
Green,15,40,Domestic,No obstcale,,Yes,No,Manufacturing
Green,19,20,Domestic,No obstcale,,Yes,No,Manufacturing
Green,23,28,Domestic,No obstcale,,Yes,No,Wholesale
Green,7,39,Domestic,No obstcale,,Yes,No,Retail
Green,3,19,Domestic,No obstcale,,Yes,No,Retail
Green,6,25,Domestic,No obstcale,,Yes,No,Retail
Green,55,40,Domestic,Severe obstcale,,Yes,No,Retail
Green,10,32,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,45,30,Domestic,Minor obstcale,,Yes,No,Hotel and restaurants
Green,25,5,Domestic,Minor obstcale,,Yes,No,Hotel and restaurants
Green,35,42,Domestic,No obstcale,,Yes,Yes,Hotel and restaurants
Green,17,20,Domestic,No obstcale,,Yes,Yes,Hotel and restaurants
Green,36,1,Domestic,No obstcale,,Yes,No,Services
Green,35,45,Domestic,Severe obstcale,,Yes,No,Construction
Green,40,27,Domestic,Major obstcale,,Yes,No,Construction
Green,5,30,Domestic,Moderate obstcale,,Yes,Yes,Services
Green,120,14,Foreign,No obstcale,,Yes,No,Retail
Green,130,23,Domestic,Major obstcale,,Yes,Yes,Services
Green,130,6,Domestic,Major obstcale,,Yes,No,Food
Green,105,38,Foreign,No obstcale,,Yes,Yes,Services
Green,7,29,Domestic,No obstcale,,Yes,No,Wholesale
Green,6,5,Domestic,No obstcale,,Yes,No,Retail
Green,116,1,Domestic,No obstcale,,Yes,No,Food
Green,16,25,Domestic,Major obstcale,,Yes,No,Manufacturing
Green,190,10,Foreign,No obstcale,,Yes,No,Food
Green,23,30,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,28,40,Domestic,No obstcale,,Yes,No,Manufacturing
Green,26,24,Domestic,Moderate obstcale,,Yes,No,Food
Green,5,27,Domestic,Major obstcale,,Yes,No,Manufacturing
Green,50,23,Domestic,Major obstcale,,Yes,No,Food
Green,60,25,Domestic,Moderate obstcale,,Yes,No,Services
Green,108,25,Domestic,Moderate obstcale,,Yes,No,Garments
Green,28,5,Foreign,No obstcale,,Yes,No,Services
Green,25,35,Domestic,Moderate obstcale,,Yes,No,Wholesale
Green,87,25,Domestic,Minor obstcale,,Yes,Yes,Manufacturing
Green,106,30,Domestic,Major obstcale,,Yes,No,Wholesale
Green,16,27,Domestic,No obstcale,,Yes,No,Retail
Green,7,11,Domestic,Minor obstcale,,Yes,Yes,Retail
Green,5,25,Domestic,Minor obstcale,,Yes,No,Retail
Green,27,10,Domestic,Major obstcale,,Yes,No,Retail
Green,64,15,Domestic,Moderate obstcale,,Yes,No,Retail
Green,14,20,Domestic,Moderate obstcale,,Yes,No,Retail
Green,10,4,Domestic,Major obstcale,,Yes,No,Retail
Green,56,20,Domestic,Moderate obstcale,,Yes,No,Retail
Green,25,20,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,20,33,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,41,40,Foreign,No obstcale,,Yes,No,Wholesale
Green,101,3,Domestic,No obstcale,,Yes,Yes,Garments
Green,12,28,Domestic,Minor obstcale,,Yes,Yes,Construction
Green,8,20,Domestic,Major obstcale,,Yes,Yes,Hotel and restaurants
Green,140,36,Domestic,Major obstcale,,Yes,No,Wholesale
Green,104,19,Domestic,No obstcale,,Yes,No,Services
Green,250,40,Foreign,No obstcale,,Yes,Yes,Manufacturing
Green,25,40,Domestic,Major obstcale,,Yes,No,Construction
Green,11,40,Domestic,No obstcale,,Yes,No,Services
Green,6,12,Domestic,Minor obstcale,,Yes,Yes,Construction
Green,16,24,Domestic,Severe obstcale,,Yes,Yes,Food
Green,103,40,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,103,17,Domestic,No obstcale,,Yes,Yes,Wholesale
Green,150,29,Domestic,No obstcale,,Yes,No,Services
Green,220,28,Foreign,No obstcale,,Yes,No,Manufacturing
Green,100,25,Domestic,Minor obstcale,,Yes,Yes,Construction
Green,25,29,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,30,29,Domestic,No obstcale,,Yes,No,Wholesale
Green,46,26,Domestic,Moderate obstcale,,Yes,Yes,Services
Green,50,26,Domestic,Major obstcale,,Yes,No,Manufacturing
Green,120,26,Domestic,No obstcale,,Yes,No,Construction
Green,10,12,Domestic,Moderate obstcale,,Yes,No,Manufacturing
Green,17,50,Domestic,No obstcale,,Yes,No,Manufacturing
Green,16,12,Domestic,Major obstcale,,Yes,No,Manufacturing
Green,9,25,Domestic,Moderate obstcale,,Yes,No,Services
Green,6,35,Domestic,Minor obstcale,,Yes,No,Retail
Green,140,33,Domestic,Severe obstcale,,Yes,Yes,Manufacturing
Green,75,15,Domestic,No obstcale,,Yes,No,Construction
Green,50,30,Domestic,Moderate obstcale,,Yes,No,Construction
Green,15,40,Domestic,No obstcale,,Yes,No,Wholesale
Green,22,40,Domestic,Minor obstcale,,Yes,No,Construction
Green,6,50,Domestic,No obstcale,,Yes,No,Retail
Green,14,30,Domestic,No obstcale,,Yes,No,Retail
Green,12,27,Foreign,No obstcale,,Yes,No,Services
Green,45,9,Domestic,Major obstcale,,Yes,No,Manufacturing
Green,72,36,Domestic,Severe obstcale,,Yes,No,Construction
Green,20,8,Domestic,Minor obstcale,,Yes,No,Manufacturing
Green,4,8,Domestic,No obstcale,,Yes,No,Manufacturing
Green,15,20,Foreign,Major obstcale,,Yes,No,Manufacturing
Green,118,4,Domestic,Minor obstcale,,Yes,No,Food
Green,79,20,Domestic,Moderate obstcale,,Yes,No,Food
Green,156,5,Domestic,Minor obstcale,,Yes,Yes,Food
